"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"212",105226,"Red Rock West (1992)","Thriller",1993-05-14,"1993","5","United States","Propaganda Films;PolyGram Filmed Entertainment",8e+06,11562,98,"Nicolas Cage;Dennis Hopper;Lara Flynn Boyle;Craig Reay;Vance Johnson;Robert Apel;Bobby Joe McFadden;J.T. Walsh;Dale Gibson;Ted Parks;Babs Bram;Robert Guajardo;Sarah Sullivan;Timothy Carhart;Dan Shor;Michael Ruud;Dwight Yoakam;Peter Kevin Quinn","John Dahl","United States"
"220",111756,"Wyatt Earp (1994)","Western",1994-06-24,"1994","6","United States","Warner Bros.;Tig Productions;Kasdan Pictures",6.3e+07,7543504,191,"Kevin Costner;Dennis Quaid;Gene Hackman;David Andrews;Linden Ashby;Jeff Fahey;Joanna Going;Mark Harmon;Michael Madsen;Catherine O'Hara;Bill Pullman;Isabella Rossellini;Tom Sizemore;JoBeth Williams;Mare Winningham;James Gammon;Rex Linn;Randle Mell","Lawrence Kasdan","United States"
"226",109785,"Federal Hill (1994)","Drama",1995-02-24,"1995","2","United States","Eagle Beach;Trimark Pictures",80000,20601,97,"Nicholas Turturro;Anthony DeSando;Libby Langdon;Michael Raynor;Robert Turano;Jason Andrews;Phyllis Kay;Biagio Conti;Michael Corrente;Briggs Doherty;Armen Garo;David Gianopoulos;Jimmy Landi;Frank Vincent;Jane Kinsey","Michael Corrente","United States"
"228",109021,"8 Seconds (1994)","Drama",1994-02-25,"1994","2","United States","Jersey Films;New Line Cinema",7e+06,3369037,105,"Luke Perry;Stephen Baldwin;James Rebhorn;Cameron Finley;Carrie Snodgress;Dustin Mayfield;Clyde Frost;Elsie Frost;Red Mitchell;Gabriel Folse;Joe Stevens;Clint Burkey;Cynthia Geary;Ronnie Claire Edwards;John Swasey;Jim Gough;Mike Hammes;Jonathan Joss","John G. Avildsen","United States"
"231",106226,"Age of Innocence, The (1993)","Drama",1993-10-01,"1993","10","United States","Columbia Pictures;Cappa Production",3.4e+07,2317289,139,"Daniel Day-Lewis;Michelle Pfeiffer;Winona Ryder;Linda Faye Farkas;Michael Rees Davis;Terry Cook;Jon Garrison;Richard E. Grant;Alec McCowen;Geraldine Chaplin;Mary Beth Hurt;Stuart Wilson;Howard Erskine;John McLoughlin;Christopher Nilsson;Miriam Margolyes;Siân Phillips;Carolyn Farina","Martin Scorsese","United States"
"232",109067,"Air Up There, The (1994)","Comedy",1994-01-07,"1994","1","United StatesJapan","Hollywood Pictures;Interscope Communications;Longview Entertainment",17080000,5240859,107,"Kevin Bacon;Charles Gitonga Maina;Yolanda Vazquez;Winston Ntshona;Mabutho 'Kid' Sithole;Sean McCann;Dennis Patrick;Ilo Mutombo;Nigel Miguel;Eric Menyuk;Keith Gibbs;Miriam Owiti;Douglas Leboyare;Francis Mutei;Gibson Gathu Mbugua;Vusi Kunene;Connie Chiume;John Matshikiza","Paul Michael Glaser","United States"
"233",109198,"Bad Girls (1994)","Western",1994-04-22,"1994","4","United States","Twentieth Century Fox;The Ruddy Morgan Organization",2.5e+07,5012200,99,"Madeleine Stowe;Mary Stuart Masterson;Andie MacDowell;Drew Barrymore;James Russo;James Le Gros;Robert Loggia;Dermot Mulroney;Jim Beaver;Nick Chinlund;Neil Summers;Daniel O'Haco;Richard Reyes;Alex Kubik;Will MacMillan;Harry Northup;Don Hood;Donald L. Montoya","Jonathan Kaplan","United States"
"235",106379,"Being Human (1993)","Drama",1994-05-06,"1994","5","United KingdomJapan","Warner Bros.;Enigma Productions;BSB",4e+07,764011,122,"Robin Williams;John Turturro;Kelly Hunter;Maudie Johnson;Max Johnson;Robert Carlyle;Eoin McCarthy;Irvine Allen;Iain Andrew;Robert Cavanah;Tony Curran;Andrew Flanagan;Seamus Gubbins;Iain McAleese;David McGowan;Gavin Mitchell;Michael Nardone;Brian O'Malley","Bill Forsyth","United Kingdom"
"236",106400,"Beverly Hillbillies, The (1993)","Comedy",1993-10-15,"1993","10","United States","Twentieth Century Fox",2.5e+07,9525375,92,"Diedrich Bader;Erika Eleniak;Jim Varney;Cloris Leachman;Lily Tomlin;Lea Thompson;Dolly Parton;Rob Schneider;Dabney Coleman;Penny Fuller;Kevin Connolly;Linda Carlson;Lyman Ward;Leann Hunley;Ernie Lively;David L. Crowley;Michael Cassidy;David Byrd","Penelope Spheeris","United States"
"238",109297,"Blink (1994)","Thriller",1994-01-26,"1994","1","United States","New Line Cinema",1.1e+07,4410077,106,"Madeleine Stowe;Aidan Quinn;James Remar;Peter Friedman;Bruce A. Young;Laurie Metcalf;Matt Roth;Paul Dillon;Michael P. Byrne;Anthony Cannata;Greg Noonan;Heather Schwartz;Marilyn Dodds Frank;Michael Stuart Kirkpatrick;Sean C. Cleland;Craig Winston Damon;David Callahan;Jackie Moran","Michael Apted","United States"
"242",106489,"Bronx Tale, A (1993)","Drama",1993-10-01,"1993","10","United States","Price Entertainment;Penta Entertainment;Tribeca Productions",2.2e+07,3716456,121,"Robert De Niro;Chazz Palminteri;Lillo Brancato;Francis Capra;Taral Hicks;Kathrine Narducci;Clem Caserta;Alfred Sauchelli Jr.;Frank Pietrangolare;Joe Pesci;Robert D'Andrea;Eddie Montanaro;Fred Fischer;Dave Salerno;Joseph D'Onofrio;Luigi D'Angelo;Louis Vanaria;Dominick Rocchio","Robert De Niro","United States"
"243",109361,"Cabin Boy (1994)","Comedy",1994-01-07,"1994","1","United States","Touchstone Pictures;Steve White Productions;Skellington Productions Inc.",9e+06,1513507,80,"Chris Elliott;Ritch Brinkley;James Gammon;Brian Doyle-Murray;Brion James;Melora Walters;I.M. Hobson;Alex Nevil;David Henry Sterry;Bob Elliott;Edward Flotard;Jim Cummings;David Letterman;Ann Magnuson;Russ Tamblyn;Ricki Lake;Mike Starr;Andy Richter","Adam Resnick","United States"
"247",109443,"Clean Slate (1994)","Comedy",1994-05-06,"1994","5","United States","Metro-Goldwyn-Mayer (MGM);The Zanuck Company",1.8e+07,3136130,107,"Dana Carvey;Valeria Golino;James Earl Jones;Kevin Pollak;Michael Gambon;Michael Murphy;Jayne Brook;Vyto Ruginis;Olivia d'Abo;Angela Paton;Mark Bringelson;Christopher Meloni;Timothy Scott;Gailard Sartain;Robert Wisdom;Phil Leeds;Michael Monks;Peter Crook","Mick Jackson","United States"
"253",106677,"Dazed and Confused (1993)","Comedy",1993-09-24,"1993","9","United States","Gramercy Pictures (I);Alphaville Films;Detour Filmproduction",6900000,918127,103,"Jason London;Wiley Wiggins;Matthew McConaughey;Rory Cochrane;Joey Lauren Adams;Milla Jovovich;Shawn Andrews;Adam Goldberg;Anthony Rapp;Sasha Jenson;Marissa Ribisi;Deena Martin;Michelle Burke;Cole Hauser;Christine Harnos;Mark Vandermeulen;Esteban Powell;Jeremy Fox","Richard Linklater","United States"
"262",106977,"Fugitive, The (1993)","Thriller",1993-08-06,"1993","8","United States","Warner Bros.;Kopelson Entertainment",4.4e+07,23758855,130,"Harrison Ford;Tommy Lee Jones;Sela Ward;Julianne Moore;Joe Pantoliano;Andreas Katsulas;Jeroen Krabbé;Daniel Roebuck;L. Scott Caldwell;Tom Wood;Ron Dean;Joseph F. Kosala;Miguel Nino;John Drummond;Tony Fosco;Joseph F. Fisher;James Liautaud;David Darlow","Andrew Davis","United States"
"264",109891,"Getting Even with Dad (1994)","Comedy",1994-06-17,"1994","6","United States","Metro-Goldwyn-Mayer (MGM)",3e+07,5579480,109,"Macaulay Culkin;Ted Danson;Glenne Headly;Saul Rubinek;Gailard Sartain;Sam McMurray;Hector Elizondo;Sydney Walker;Kathleen Wilhoite;Dann Florek;Ron Canada;Ralph Peduto;Bert Kinyon;Melvin Thompson;Danny James Hunter;Suzanne Lime;Mary Dilts;Scott Beach","Howard Deutch","United States"
"272",110074,"Hudsucker Proxy, The (1994)","Comedy",1994-03-11,"1994","3","United KingdomGermanyUnited States","PolyGram Filmed Entertainment;PolyGram Filmproduktion;Silver Pictures",4e+07,104490,111,"Tim Robbins;Paul Newman;Jennifer Jason Leigh;Charles Durning;John Mahoney;Jim True-Frost;Bill Cobbs;Bruce Campbell;Harry Bugin;John Seitz;Joe Grifasi;Roy Brocksmith;John Wylie;I.M. Hobson;Gary Allen;John Scanlan;Richard Woods;Jerome Dempsey","Joel Coen;Ethan Coen(uncredited)","United Kingdom"
"275",107207,"In the Name of the Father (1993)","Drama",1994-02-25,"1994","2","IrelandUnited Kingdom","Hell's Kitchen Films;Universal Pictures",1.3e+07,109805,133,"Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie;Philip King;Emma Thompson;Nye Heron;Anthony Brophy;Frankie McCafferty;Paul Warriner;Julian Walsh;Stuart Wolfenden;Jo Connor;Karen Carlisle;Seamus Moran;Billy Byrne;Maureen McBride;Jane Nolan;Laurence Griffin","Jim Sheridan","Ireland"
"283",107322,"King of the Hill (1993)","Drama",1993-08-20,"1993","8","United States","Wildwood Enterprises;Bona Fide Productions",8e+06,46476,103,"Jesse Bradford;Jeroen Krabbé;Lisa Eichhorn;Karen Allen;Spalding Gray;Elizabeth McGovern;Cameron Boyd;Adrien Brody;Joe Chrest;John McConnell;Amber Benson;Kristin Griffith;Chris Samples;Peggy Freisen;Katherine Heigl;John Durbin;Lauryn Hill;Jesse Zeigler","Steven Soderbergh","United States"
"285",107478,"Made in America (1993)","Comedy",1993-05-28,"1993","5","United StatesFrance","Canal+;New Regency Productions;Alcor Films",2.2e+07,11821326,111,"Whoopi Goldberg;Ted Danson;Will Smith;Nia Long;Paul Rodriguez;Jennifer Tilly;Peggy Rea;Clyde Kusatsu;David Bowe;Jeff Joseph;Rawley Valverde;Fred Mancuso;Charlene Fernetz;Shawn Levy;Lu Leonard;Joe Lerer;Janice Edwards;Michael McFall","Richard Benjamin","United States"
"286",107497,"Malice (1993)","Thriller",1993-10-01,"1993","10","CanadaUnited States","Castle Rock Entertainment;New Line Cinema;Nelvana",2e+07,9232650,107,"Alec Baldwin;Nicole Kidman;Bill Pullman;Bebe Neuwirth;George C. Scott;Anne Bancroft;Peter Gallagher;Josef Sommer;Tobin Bell;William Duff-Griffin;Debrah Farentino;Gwyneth Paltrow;David Bowe;Diana Bellamy;Michael Hatt;Paula Plum;Sara Melson;Ken Cheeseman","Harold Becker","Canada"
"294",110687,"North (1994)","Comedy",1994-07-22,"1994","7","United States","Castle Rock Entertainment;Columbia Pictures;New Line Cinema",4e+07,3036050,87,"Elijah Wood;Bruce Willis;Jason Alexander;Julia Louis-Dreyfus;Marc Shaiman;Jussie Smollett;Taylor Fry;Alana Austin;Peg Shirley;Chuck Cooper;Alan Zweibel;Donavon Dietz;Teddy Bergman;Michael Cipriani;Joran Corneal;Joshua Kaplan;James F. Dean;Glenn Walker Harris Jr.","Rob Reiner","United States"
"297",107818,"Philadelphia (1993)","Drama",1994-01-14,"1994","1","United States","TriStar Pictures;Clinica Estetico",2.6e+07,143433,125,"Tom Hanks;Denzel Washington;Roberta Maxwell;Buzz Kilman;Karen Finley;Daniel Chapman;Mark Sorensen Jr.;Jeffrey Williamson;Charles Glenn;Ron Vawter;Anna Deavere Smith;Stephanie Roth Haberle;Lisa Talerico;Joanne Woodward;Jason Robards;Robert Ridgely;Chandra Wilson;Ford Wheeler","Jonathan Demme","United States"
"299",107840,"Poetic Justice (1993)","Drama",1993-07-23,"1993","7","United States","Columbia Pictures;New Deal Productions;Nickel",1.4e+07,11728455,109,"Janet Jackson;Tupac Shakur;Regina King;Joe Torry;Khandi Alexander;Maya Angelou;Ché J. Avery;Lloyd Avery II;Kimberly Brooks;Rico Bueno;Maia Campbell;Jeff Cantrel;Michael Colyar;Kina Cosper;John Cothran;Dina D.;Joseph Dalu;James Deeth","John Singleton","United States"
"302",110955,"Ref, The (1994)","Comedy",1994-03-11,"1994","3","United States","Touchstone Pictures;Don Simpson/Jerry Bruckheimer Films",1.1e+07,3044097,97,"Denis Leary;Judy Davis;Kevin Spacey;Robert J. Steinmiller Jr.;Glynis Johns;Raymond J. Barry;Richard Bright;Christine Baranski;Adam LeFevre;Phillip Nicoll;Ellie Raab;Bill Raymond;John Scurti;Jim Turner;Herbie Ade;Ron Gabriel;Scott Walker;Edward Saxon","Ted Demme","United States"
"306",111001,"Road to Wellville, The (1994)","Comedy",1994-10-28,"1994","10","United States","Beacon Communications;Beacon Pictures;Columbia Pictures",2.5e+07,2580108,118,"Anthony Hopkins;Bridget Fonda;Matthew Broderick;John Cusack;Dana Carvey;Michael Lerner;Colm Meaney;John Neville;Lara Flynn Boyle;Traci Lind;Camryn Manheim;Roy Brocksmith;Norbert Weisser;Monica Parker;Jacob Reynolds;Michael Goodwin;Marshall Efron;Aleksandr Slanksnis","Alan Parker","United States"
"308",107977,"Robin Hood: Men in Tights (1993)","Comedy",1993-07-28,"1993","7","FranceUnited States","Brooksfilms;Gaumont",2e+07,6841830,104,"Cary Elwes;Richard Lewis;Roger Rees;Amy Yasbeck;Mark Blankfield;Dave Chappelle;Isaac Hayes;Megan Cavanagh;Eric Allan Kramer;Matthew Porretta;Tracey Ullman;Patrick Stewart;Dom DeLuise;Dick Van Patten;Robert Ridgely;Mel Brooks;Steve Tancora;Joe Dimmick","Mel Brooks","France"
"310",108000,"Ruby in Paradise (1993)","Drama",1993-11-05,"1993","11","United States","Full Crew/Say Yea;Ruby in Paradise",8e+05,25297,114,"Ashley Judd;Todd Field;Bentley Mitchum;Allison Dean;Dorothy Lyman;Betsy Douds;Felicia Hernández;Divya Satia;Bobby Barnes;Sharon M. Lewis;Paul E. Mills;Brik Berkes;Abigail McKelvey;Kristina Daman;Mark Limmer;J.D. Roberts;Jean Garrido;Al Mast","Victor Nunez","United States"
"316",108149,"Six Degrees of Separation (1993)","Drama",1993-12-08,"1993","12","United States","Metro-Goldwyn-Mayer (MGM);Maiden Movies;New Regency Productions",1.2e+07,53058,112,"Will Smith;Stockard Channing;Donald Sutherland;Ian McKellen;Mary Beth Hurt;Bruce Davison;Richard Masur;Anthony Michael Hall;Heather Graham;Eric Thal;Anthony Rapp;Oz Perkins;Catherine Kellner;J.J. Abrams;Joe Pentangelo;Lou Milione;Brooke Hayward;Peter Duchin","Fred Schepisi","United States"
"318",108162,"Sliver (1993)","Thriller",1993-05-21,"1993","5","United States","Paramount Pictures;Robert Evans Company",4e+07,12138283,107,"Sharon Stone;William Baldwin;Tom Berenger;Polly Walker;Colleen Camp;Amanda Foreman;Martin Landau;CCH Pounder;Nina Foch;Keene Curtis;Nicholas Pryor;Anne Betancourt;Tony Peck;Frantz Turner;Melvyn Kinder;Radu Gavor;Allison Mackie;José Rey","Phillip Noyce","United States"
"332",112572,"Brady Bunch Movie, The (1995)","Comedy",1995-02-17,"1995","2","United States","Paramount Pictures;Sherwood Schwartz Productions",1.2e+07,14827066,90,"Shelley Long;Gary Cole;Christine Taylor;Christopher Daniel Barnes;Jennifer Elise Cox;Paul Sutera;Olivia Hack;Jesse Lee Soffer;Henriette Mantel;David Graf;Florence Henderson;Jack Noseworthy;Megan Ward;Jean Smart;Michael McKean;Moriah 'Shining Dove' Snyder;Alanna Ubach;Shane Conrad","Betty Thomas","United States"
"345",117283,"Pallbearer, The (1996)","Comedy",1996-05-03,"1996","5","United States","Miramax;The Chess Club",8e+06,2319236,98,"David Schwimmer;Gwyneth Paltrow;Michael Rapaport;Toni Collette;Carol Kane;Michael Vartan;Bitty Schram;Jean De Baer;Elizabeth Franz;Mark Margolis;Barbara Hershey;Edoardo Ballerini;Matthew Faber;Robin Morse;Tony Machine;Robert Katims;Greg Grunberg;David Vadim","Matt Reeves","United States"
"347",116165,"Ed (1996)","Comedy",1996-03-15,"1996","3","United States","Longview Entertainment;Universal Pictures",2.4e+07,1910840,94,"Matt LeBlanc;Jayne Brook;Gene Ross;Paul Hewitt;Sage Allen;Stan Ivar;Jim O'Heir;Rick Johnson;Valente Rodriguez;Jack Warden;Bill Cobbs;Leonard Kelly-Young;Patrick Kerr;Jim Caviezel;Troy Evans;Jay Caputo;Denise Cheshire;Curt Kaplan","Bill Couturié","United States"
"348",117891,"Thin Line Between Love and Hate, A (1996)","Comedy",1996-04-03,"1996","4","United States","Jackson/McHenry Company,The;Savoy Pictures;You Go Boy! Productions",8e+06,9310414,108,"Martin Lawrence;Lynn Whitfield;Regina King;Bobby Brown;Della Reese;Malinda Williams;Daryl Mitchell;Roger E. Mosley;Simbi Kali;Tangie Ambrose;Wendy Raquel Robinson;Stacii Jae Johnson;Miguel A. Núñez Jr.;Faizon Love;Michael Bell;Dartanyan Edmonds;Greer Bohanon;Michael Taliferro","Martin Lawrence","United States"
"350",117608,"Sgt. Bilko (1996)","Comedy",1996-03-29,"1996","3","United States","Imagine Entertainment;Universal Pictures",3.9e+07,8110080,93,"Steve Martin;Dan Aykroyd;Phil Hartman;Glenne Headly;Daryl Mitchell;Max Casella;Eric Edwards;Dan Ferro;John Marshall Jones;Brian Leckner;John Ortiz;Pamela Adlon;Mitchell Whitfield;Austin Pendleton;Chris Rock;Cathy Silvers;Steve Park;Debra Jo Rupp","Jonathan Lynn","United States"
"355",116168,"Eddie (1996)","Comedy",1996-05-31,"1996","5","United States","Permut Presentations;Hollywood Pictures;Island Pictures",3e+07,8041972,100,"Whoopi Goldberg;Frank Langella;Dennis Farina;Richard Jenkins;Lisa Ann Walter;John Benjamin Hickey;Troy Byer;John Salley;Rick Fox;Malik Sealy;Mark Jackson;Dwayne Schintzius;Greg Ostertag;Vernel Singleton;Marv Albert;Chris Berman;Aasif Mandvi;Johnny Williams","Steve Rash","United States"
"357",116269,"Faithful (1996)","Comedy",1996-04-03,"1996","4","United States","Miramax;New Line Cinema;Price Entertainment",1.3e+07,967956,91,"Cher;Chazz Palminteri;Ryan O'Neal;Paul Mazursky;Amber Smith;Elisa Leonetti;Mark Nassar;Stephen Spinella;Jeffrey Wright;David Marino;Steven Randazzo;Olinda Turturro;Max Norat;Allison Janney;Chris O'Neill;Michael Mulheren;Jerry Walsh;Gianna Palminteri","Paul Mazursky","United States"
"368",117108,"Multiplicity (1996)","Comedy",1996-07-17,"1996","7","United States","Columbia Pictures",4.5e+07,5075340,117,"Michael Keaton;Andie MacDowell;Zack Duhame;Katie Schlossberg;Harris Yulin;Richard Masur;Eugene Levy;Ann Cusack;John de Lancie;Judith Kahan;Brian Doyle-Murray;Obba Babatundé;Julie Bowen;Dawn Maxey;Kari Coleman;Steven Kampmann;Michael Milhoan;Skip Stellrecht","Harold Ramis","United States"
"372",109592,"Cemetery Man (Dellamorte Dellamore) (1994)","Horror",1996-04-26,"1996","4","ItalyFranceGermany","Audifilm;Urania Film;K.G. Productions",4e+06,22459,105,"Rupert Everett;François Hadji-Lazaro;Anna Falchi;Mickey Knox;Fabiana Formica;Clive Riche;Katja Anton;Barbara Cupisti;Anton Alexander;Pietro Genuardi;Patrizia Punzo;Stefano Masciarelli;Vito Passeri;Alessandro Zamattio;Marijn Koopman;Renato Donis;Claudia Lawrence;Francesca Gamba","Michele Soavi","Italy"
"376",117768,"Stupids, The (1996)","Comedy",1996-08-30,"1996","8","United StatesUnited Kingdom","Imagine Entertainment;Savoy Pictures;The Rank Organisation",2.5e+07,1593929,94,"Tom Arnold;Jessica Lundy;Bug Hall;Alex McKenna;Mark Metcalf;Matt Keeslar;Scott Kraft;Victor Ertmanis;Earl Williams;George Chiang;Max Landis;Carol Ng;Arthur Eng;Jennifer Dean;Garry Robbins;Nicu Branzea;Richard Crook;Gurinder Chadha","John Landis","United States"
"384",117737,"Stealing Beauty (1996)","Drama",1996-06-14,"1996","6","United KingdomFranceItaly","Fiction;France 2 Cinéma;Jeremy Thomas Productions",1e+07,103028,118,"Jeremy Irons;Liv Tyler;Carlo Cecchi;Sinéad Cusack;Joseph Fiennes;Jason Flemyng;Anna Maria Gherardi;Jean Marais;Donal McCann;D.W. Moffett;Ignazio Oliva;Stefania Sandrelli;Francesco Siciliano;Mary Jo Sorgani;Leonardo Treviglio;Rebecca Valpy;Alessandra Vanzi;Rachel Weisz","Bernardo Bertolucci","United Kingdom"
"388",116778,"Kingpin (1996)","Comedy",1996-07-26,"1996","7","United States","Rysher Entertainment;Motion Picture Corporation of America (MPCA)",2.7e+07,5582079,114,"Woody Harrelson;Randy Quaid;Bill Murray;Vanessa Angel;Chris Elliott;William Jordan;Richard Tyson;Lin Shaye;Zen Gesner;Prudence Wright Holmes;Rob Moran;Daniel Greene;Will Rothhaar;Mark Charpentier;Brad Faxon;Billy Andrade;Paul DeWolf;Jill Lytle","Bobby Farrelly;Peter Farrelly","United States"
"401",116823,"Larger Than Life (1996)","Comedy",1996-11-01,"1996","11","United States","United Artists Pictures;Trilogy Entertainment Group;RCS",3e+07,3779504,93,"Bill Murray;Matthew McConaughey;Jerry Adler;Richard Alan Baker;Richie Allan;Kimberly Thornton;Anita Gillette;Maureen Mueller;Jeremy Piven;Alex Neiwerth;Alfa-Betty Olsen;Carrie Houk;Harve Presnell;Tai;Earl Billings;Jeannine Hutchings;Roy Blount Jr.;Teddy Couch","Howard Franklin","United States"
"402",118073,"Very Brady Sequel, A (1996)","Comedy",1996-08-23,"1996","8","United States","Paramount Pictures;The Ladd Company",1.2e+07,7052045,90,"Shelley Long;Gary Cole;Tim Matheson;Christopher Daniel Barnes;Christine Taylor;Paul Sutera;Jennifer Elise Cox;Jesse Lee Soffer;Olivia Hack;Henriette Mantel;Whip Hubley;Whitney Rydbeck;Sue Casey;Gregory White;RuPaul;Diana Theodore;David Ramsey;Phil Buckman","Arlene Sanford","United States"
"405",116313,"First Wives Club, The (1996)","Comedy",1996-09-20,"1996","9","United States","Paramount Pictures",2.6e+07,18913411,103,"Goldie Hawn;Bette Midler;Diane Keaton;Maggie Smith;Sarah Jessica Parker;Dan Hedaya;Stockard Channing;Victor Garber;Stephen Collins;Elizabeth Berkley;Marcia Gay Harden;Bronson Pinchot;Jennifer Dundas;Eileen Heckart;Philip Bosco;Rob Reiner;James Naughton;Ari Greenberg","Hugh Wilson","United States"
"412",117718,"Spitfire Grill, The (1996)","Drama",1996-09-06,"1996","9","United States","Castle Rock Entertainment;Gregory Productions;The Mendocino Corporation",6e+06,150049,117,"Alison Elliott;Ellen Burstyn;Marcia Gay Harden;Will Patton;Kieran Mulroney;Gailard Sartain;John M. Jackson;Louise De Cormier;Ida Griesemer;Lincoln Grow;Emerson Grow;Sam Lloyd Sr.;Lisa Louise Langford;Forrest Murray;Patty Smith;Faith Catlin;Janet St. Onge;Jim Hogue","Lee David Zlotoff","United States"
